Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Project,FRC_Events_API (Debug), , , ,100,0,0,0,0
Project,FRC_Scouting_V2.Desktop (Debug), , , ,61,1034,8,197,17879
Namespace,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2, , ,62,598,8,169,5691
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI, ,48,67,7,64,1365
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,Aerial_Assist_Scouting_UI(),77,1,,1,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"Aerial_Assist_UI_Layout_Load(object, EventArgs) : void",43,3,,10,45
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoBallPickupHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoHighMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoHighPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoHighPointsHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoLowMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoLowPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoLowPointsHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoPickupMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"autoPickupPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"ballReceivedFromHumanHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,BlankPanel() : void,75,1,,4,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"clearAndAdvanceButton_Click(object, EventArgs) : void",54,1,,6,20
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"commentsRichTextBox_TextChanged(object, EventArgs) : void",83,2,,2,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledBallPickupHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledHighMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledHighPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledHighPointsHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledLowMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledLowPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controlledLowPointsHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controllPickupMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"controllPickupPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,CountRowsInDatabase() : int,56,3,,11,15
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"didRobotDieCheckBox_CheckedChanged(object, EventArgs) : void",70,3,,2,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"didRobotDieHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"hotGoalMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"hotGoalPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"hotGoalsHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,InitializeComponent() : void,1,1,,37,1117
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"matchNumberHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"matchNumberNumericUpDown_ValueChanged(object, EventArgs) : void",91,1,,3,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedAutoHighHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedAutoLowHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedControlledHighHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedControlledLowHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedHotGoalHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedPickupHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedPickupsMinusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"missedPickupsPlusButton_Click(object, EventArgs) : void",85,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,PlotInitialLines() : void,60,1,,5,11
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"startingLocationHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"startingLocationPanel_MouseClick(object, MouseEventArgs) : void",67,1,,10,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"startingLocationPanel_Paint(object, PaintEventArgs) : void",100,1,,1,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"submitDataButton_Click(object, EventArgs) : void",36,6,,20,68
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"teamColourComboBox_SelectedIndexChanged(object, EventArgs) : void",79,3,,2,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"teamColourHelpButton_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,"timer_Tick(object, EventArgs) : void",91,1,,3,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Aerial_Assist_Scouting_UI,UpdateLabels() : void,65,1,,2,8
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay, ,38,46,7,41,453
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay,AerialAssist_Northbay(),91,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay,"AerialAssist_Northbay_Load(object, EventArgs) : void",44,1,,6,38
